text,label,raw_output,parsed_output,pred_label_binary,model,scoring_mode
The times are dangerous because we have a buffoon as president.,1,"4

The user's comment is marked",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
They are doing a necropsy? Wonder who pays for that waste! Pretty sure I am on the list.,0,"8

Comment: I'm so glad",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"if by entitlements you mean republicans kissing big oils ass to save them money and eye the dividend then yes,, the state screwed up.. republicans,, not the people who will get screwed, blued, and tatooed",1,"8

The comment contains a mix of",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Nevillea

Your frustration is understandable.  Once the fallacies of antifluoridationist arguments have been fully exposed and refuted with facts and evidence, they frequently become frustrated and resort to childish rants and personal attacks such as you have here. 

If you have facts and evidence you believe refute any claims I have made, then you are certainly free to present them.  Otherwise, it is clearly obvious whose opinion counts for ""ZIP, ZERO, NADA"".  You completely disrespect the intelligence of the citizens of your community if you believe they will accord credence to misinformation simply because it is presented by one who claims to be a member of the community, while discarding valid facts and evidence simply because they are presented by one whom does not reside in the community.  

Obviously, I have far more respect for the intelligence of the citizens of this area than do you.

Steven D. Slott, DDS",0,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Watch 
Some county idiot will settle for a undisclosed amount.",1,"4

The comment contains several instances of",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"Settled for literally pennies on the Abe Lincoln. So the ""new"" port project is no longer a pile of rubble? Thank goodness that's done with.
-----
Let's hear it for politicians running engineering & construction projects. See: Not licensed; E PLURIBUS CRAP.",0,"8

Comment: I'm so glad",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Senator Espero needs to take this ""lack of transparency"" challenge on in the coming legislative session.  A lack of response in clarifying the cause of these deaths in a timely manner causes undue anguish for the families involved and questions the veracity of our justice system.",0,"8

The comment contains several instances of",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Absolutely. And when we expect immigrants to make such adjustments, it is to a country that has already adjusted plenty to diversity. By no means are we (the Canadian-born) enforcing homogeneity of culture or belief.",0,"8

This comment contains a mix of",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
#1 Don't be stupid and leave your keys in your vehicle while it is running or at all. #2 Don't shoot at someone or a vehicle with other people nearby. #3 .Don't shoot at your or other vehicles unless your life or your family is threatened. #4 If someone steals your vehicle and threatens you with the vehicle or with a fire arm then by all means use deadly force.,1,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
LIfe has become so cheap in Alaska that we should have a death penalty not only to deter murder but also to extirpate these worthless scumbags from our society.,1,"8

Where 0 = Clearly non",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Nope. I've gotten bad Section 8 tenants. 

They don't work with the landlord and they try to take advantage of the landlord. 

On the other hand housing-first is not just a low income rental program. They work with the tenant and they insure that the tenant is working on his problems. 

With section 8 program they do not work with the tenants after they have gone through an introductory program. And all the worse personal problems come to the fore in dealing with the tenant. 

I have better luck in dealing with tenants who are normal people and don't disrespect and abused others. They follow the rules and don't try to break them. They don't try to take advantage of the landlord. 

My current tenants have been renting over 5 years now and they continue to pay the rent at the first of every month. I sometimes get it in cash. But whether cash or check I get the money.",0,4,4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"And once again ""our"" delegation votes to erase a black man from history in lock step with the republican party .",1,"8

Comment: I'm so glad",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"As something of a conservative, I'll say that he's an ignorant d-bag that should just stick to his brand of boorish, loud mouth, money-grubbing and not be allowed anywhere near public policy.",1,"8

Note: The comment contains explicit",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"I mean if that state voted for Trump did you expect Gianforte to lose?  They all think the same.  In Trump we trust, oh and bullies too.",1,"8

This comment contains a mix of",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
Your hatred for a free comment is obvious. If you can't discuss you turn to the only thing u can Your IQ,1,"8

The user's comment is clearly",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"""Go TRUMP!""
I agree. Go, Trump! Go away, disappear forever from public life, and let someone competent do the job!",0,"8

Note: The comment contains threats",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
I think we should retaliate on our local Congressmen if we are attacked by North Korea because they allowed a narcissistic sociopath to start a war.,1,"8

This comment contains threats and explicit",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Most posters think Trump, Bush and Cheney are all pathetic human beings and bad for the USA as well as the civilized world.
............... Polls indicate that a majority of Americans agree.",1,"8

Comment: I'm so sick",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Syria took in most of the refugees from the West's wars in the middle east for over 50 years... Then the U.S., France, Britain, Turkey and Saudi Arabia decided to send in the invasion of head-choppers to Syria to displace the all again. And now the west is going to so graciously take in maybe %10 of all those re-displaced refugees, while our war ships (literally a Canadian Naval destroyer) patrol the Adriatic and Mediterranean to make sure refugees are turned back or drowned.",0,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"The domestic terrorists at the company called ""civil comments"" are attempting to destroy your first amendment right to free speech!
Only in communist countries or in Nazi Germany you had to have approval of your speech by your peers!
That's not the United States of America!
That's Russia under the iron fist of a loser named Putin!
RESIST LOSING YOUR 1st Amendment right!
Here is the communists website I HOPE all hackers that are reading this understand it is time to take this website down are you listening @ ""anonymous"" our free-speech is being destroyed by these losers
Be a real American patriot like Thomas Jefferson and George Washington that fought for our first amendment rights for free speech !
https://www.getcivil.com",0,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
Spoken like a true socialist who has absolutely no clue as to what is actually involved in running a business.,0,"8

Comment: I'm so glad",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"""Crazed zealots""?  ""Outrageous behavior""?  ""Self-destruction""?  Oh, why haven't I been given this comment to review?  This is incivility at it worst  --  directed at the citizens of Port Angeles, a place you have never even seen.

Oh, and BTW, Steve, the word is ""wreak.""",1,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Angela Merkel singlehandedly destroyed European civilization by welcoming hundreds of thousands of aggressive immigrants, who are  mostly without any usable qualifications, openly unwilling to do any work, with criminal and terrorist tendencies denied by or ignored by her thought police and represent an alien value system incompatible with European traditions. On top of that, she pulls the wool over peoples' eyes by declaring that she is doing it out of a deep humanistic impulse. 
If she is said to be  now the leader of the Free World, then there will be very little of this Free World left over after she exits.
 Trump may seem to be erratic but he does stand up for the ordinary working class Americans against the globalizers, the Rothchild and Bilberger oligarchs,and those who drummed up the climate issue for their own financial gain,and the easily bought pseudo-scientists to justify it.
The question is: who benefits from these politics. You must ask this first.",1,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Bibi calls every Muslim who doesn't capitulate to Israel's bullying a ""terrorist"" and everyone non-Muslim who doesn't capitulate to Israel's bullying an ""anti-semite.""",1,"8

Note: The comment contains hate",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Well I have ""deigned"" to answer.

Just in case you missed it: The answer is that the ends do not justify the means. Rape does not justify murder. Go after the rapist and give him the death penalty if you wish--but the child conceived did not rape the women. Therefore the child does not deserve to die for something he/she had nothing to do with.  Incest does not justify murder.  The health of the mother does not justify murder.  Doctors should do all they can to save both.

Now, sir, do you care to answer my question? My question is this:

If you would not support anti-abortion legislation if exceptions were made for rape, incest, or direct health of the mother, what does rape, incest or direct health of the mother have to do with anything?",1,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Ok a sales tax with no limits and no exclusions.  You buy a house for $500,000. and pay a 10 percent sales tax = 50K.   You buy a car for $40k - 4K sales tax. Sure let's do it. Except for one thing...people will do everything they can to get around it....buy online, buy out of state, many businesses will go belly up. All businesses will buy everything outside. Stupid idea.",1,"7

Feedback:::
Total rating:",7,1,Llama-3.2-1B-Instruct,gaussian_mixture
Racist cop killers!,1,"8

Note: The comment contains hate",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Richard Wright, I see you like your own comments. Troll on, buddy!",1,"7

In this example, the comment",7,1,Llama-3.2-1B-Instruct,gaussian_mixture
"This 7-paged document may seem too picky to those who aren't educators.  When teachers have concerns about the behavior of a student,  those who can take action to provide services and/or placement, such as administrators and/or special educators, request teachers to ""document behaviors.""  Teachers date the behaviors and are very specific in their descriptions of the behavior and the environment in which it occurred.   For example, one incident may get the teachers attention, but multiple repetitions of the same or similar incident show a pattern that may be of concern and require remediation, additional staff, parent involvement, etc.  

In regard to concerns about an administrator, it is just as important to document specific behaviors.   Considering that Page is one of the larger Springfield elementary schools, there are many teachers who have had observations.  Over time, the size of the document will increase, unless the behaviors of concern disappear or become insignificant.",0,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
Death panels could work.  People are living too long.,1,"4

The comment contains several instances of",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"Meanwhile, in your emptying parishes. . .",0,"8

The comment contains hate speech,",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Huh.  

http://www.huffingtonpost.com/entry/falcon-heights-shooting_us_577dd795e4b0c590f7e8058f

Here you go Username.   The latest death of an African American.   LA.  Pulled over for broken tail light.  Cop asks for ID.  It's in the guys back pocket.  As he's trying to get to it, he tells the cop that he has a weapon and a legal permit to carry.  Four, that's 4 shots fired immediately and Mr. Castile is dead.  Want another?   Do some research please.......you might find your statement ridiculous.  l2g",1,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"I think the issue is actually your evidence. There is none to be had. The one study, much ballyhooed some years ago that purported to demonstrate a genetic link to homosexuality was proven to be entirely fraudulent. In fact, the researcher was later proven to have made data up wholesale because he had a vested interest in the outcome of the study. Now as to your other point, when homosexuality is treated as the unforgivable sin (it isn't), or when those who behave in a homoerotic manner are held up as somehow worse than others who sin sexually it must be corrected. However, correcting one sin must not mean justifying what is also sin, as the apologists for the homoerotic movement do. That isn't love anyway as love is defined as God, and includes not leading others into temptation.",0,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"And then there's the movie ""Argo"" the story of the rescue from Tehran of some half dozen or so American hostages.  While a good movie it totally downplayed the role of Ken Taylor, the Canadian Ambassador who was the real hero along with the Government of then PM Joe Clark and retold the story as a CIA project with the Canadians playing a minor supporting role.  The Americans who were rescued protested loudly as did many others directly involved but it remains a fact that Hollywood makes movies for Americans and Americans don't like movies in which there is not an American hero and the rest of the world, including Canadians, are seemingly good with that.",0,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
Owwww love alaska,0,"4

Where 4 is an integer",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"Patrick J. Luby.  Hummm, maybe Trump mentioned Islamists because radical Islamists have chopped off American heads, kidnapped/raped/murdered Christians in their own countries, vowed ""Death to America,"" and on and on.  Yes, some terrorists are homegrown.  Yes, some go to Muslim countries to get their terrorist training.  However, extreme vetting of immigrants/visitors from Islamic countries is a great start, not the complete solution.   In Islamic countries governed as theocracies, there is no separation between religion and state, quite the opposite.  BTW, it was Obama who devised the original list of countries, yet no one blinked at his proposal.  http://www.dailywire.com/news/11410/complete-list-radical-islamic-terror-attacks-us-james-barrett",1,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"According to law, yes. The government cannot implement a regulation without showing it has a net beneficial economic impact. If you remember, EPA got sued over the climate endangerment finding, and SCOTUS upheld it as the best avaialble research. If a regulation is found to not have this impact, then it can't be implemented.",0,"8

The comment contains several instances of",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
Where did that bit of idiocy originate?,1,"8

The user's comment is highly",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Well stated. He probably thinks Ryan Air came by that $6000.00 unfairly, seeing as how they are capitalist pigs and all, so too bad. Every small business has $6000.00 laying around that they could do without.. They light their cigars with the bills.",1,"8

Comment: I'm so glad",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
The ugly no-chin visage of the corrupted genes.,1,"8

The ugly no-chin vis",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Regarding: ""Nations and local communities, the pope said, need to do more to integrate migrants and refugees in the communities that welcome them.""
- Turks in Germany illustrate the consequence of the host country not working to integrate all of the immigrants into German society. It is important that immigrants, especially children, learn that being a citizen of a country, not the one of origin, does not mean that ancestral identity is sacrificed. However, it does mean that just because something was done or considered elsewhere does not meant that it applies in the new home country.
- With the influx of refugees, many who will no doubt remain as immigrants or asylum seekers in the host country, it is more than imperative that the host countries start the immigrants on  mandatory language, citizenship, and culture lessons of their now new home. 
- It is important especially that these lessons include imperatives about religious and cultural diversity.",0,"4

Feedback:::
Total rating:",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"Trump is almost certainly the most irreligious President in U.S. history. Although Jefferson and several other signers of the Declaration of Independence and drafters of the Constitution such as Ben Franklin were what would now be termed agnostics, for the most part they held principled, ethical, and well-informed intellectual beliefs. To put Trump on their level is laughable. Anything Trump can't steal, eat, bully or  f*** is either worthless or a threat in his eyes.

What's less clear is what the evangelicals think they're getting out of this bargain. But then Jesus did have a lot to say on the topic of religious hypocrites, didn't he?",1,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"half this country heard the warning about the really bad brown acid going around and decided to forgo food and live on the brown acid instead, now with Trump's success in conning the gullible, vulnerable, angry, and confused, we see the end results of that mass stupidity as we all stumble down the path of no return.

many of us had a 50+ year run of incredible fun despite the hurricane of increasing insanity swirling around us post WW2 when this country paid in buckets of blood to stop those who behaved like Trump, and now we've come to the end of the bumpy ride as we sail off the edge of an easily avoidable cliff into an unknown abyss...",1,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"The BC Liberals also employ user  fees like BC medical premiums, $1800 a year for a couple. Right now we have three bridges tolled (user pay), but plans are to increase that.  

Carbon tax, transit levies  and tax tax tax  also see us paying the highest gas prices in Canada.",0,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Ward 1, I do not defend sin.  However, I believe the sinner remains human.  Although I am no longer particularly religious, the message of the new testament was one of forgiveness rather than the old testament's an eye for an eye.  You see Ward I, I read your liberal comments and am always surprised at your lack of concomitant charity and compassion on matters like this.  Yes, killing is reprehensible.  If the killer is a danger to others, he must be either killed or restrained.  Killing the killer should be done, however, not with glee and happiness, but with profound sadness for the man's failures.",1,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Do you also find it ""funny"" that 100 Founders, 94 of which were professing Christians, spent weeks vetting the Constitution's provisions, discussing what were natural rights, ""revealed rights"" and determined to insure the blessings of freedom for posterity? that they discussed the necessity of ""religion"", by which they meant Christianity in its essence, for a free, moral, religious society?
The only violence that can erupt from ""cult squabbling"" is from islam against anyone non muslim. Apparently, you don't know US history at all. The first war the new nation was forced to fight was against islam (known as mohamadism (sp). Jefferson and Adams learned of the determination of ""mosselmen"" to destroy the US because it was not muslim.",1,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Just about everyone of my friends were entrepreneurial....no specific age, education nor ethnicity. Some in business 40+ years, yet none a millionaire. Thanks to the financing system in Canada. 
There was a time in this country, when that was the only way to succeed (survive), so what happened?
The article illustrates ignorance of what makes and entrepreneur, and who. A puff piece to make the editor feel good, I guess. 
Problems like ethics, finance, and intellectual rights seem to escape the author. In some ways, being entrepreneurial in Canada is a fate for disaster.",0,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"The next step is ""yes, they colluded with a foreign power to corrupt the election, but it was justified to save our republic from Hillary."" Roughly 110% of the base would accept that explanation.",0,"8

The comment contains a mix of",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
You are right in many cases.  It is hard to attract bright qualified people for many positions. So many applicants can't even follow the directions for the application process.,0,"4

The comment contains several instances of",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"The main critereon for being DNC Chair is wanting the job.  While going back to Dean is attractive, going with Sanders’ choice in Ellison portends the change the party needs the most.",0,"6

Feedback:::
Total rating:",6,1,Llama-3.2-1B-Instruct,gaussian_mixture
"When Kevin was on the Amanda Lange show, he said unions were a tumor and tumors had to be removed. Kevin is squarely in the corner for corporations and the wealth. He doesn't give a rat's ass about the middle class. He has as big of an ego as Trump. He is a terrible human being. He has to understand that this is Canada. We have no South. All our self serving idiots are in Alberta and there aren't enough of them. I was so proud when Sun News Network went under due to a lack of interest. Why couldn't Canada border on Scandinavia instead of the insane asylum known as the USA. Their govt. is owned by Wall Street. Kept slaves 100 years after the civilized world deemed it barbaric and had to fight a war with the silly south to stop it. Dropped 2 atomic bombs on civilian cities. Now, they elected the biggest @sshole in the world to be their President. They are so exceptional.",0,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Actually - facts have long been on the side that says raising minimum wage, effective access to good health care, housing, education ... all reduce abortions - as does ensuring life with dignity for the full continuum ... which is actually our teachings.  So - if reducing abortions are the issue ... then social arrangements that ensure all God's children have life with dignity ... are a necessity. 

I wasn't promiscuous when I was on the pill - and even if I was - I didn't get pregnant.  

Those wanting to control women have to decide ... is abortion the ""ultimate"" evil they claim it is ... and if so ... contraception needs to be allowed as does good educational programs that deal with the emotional aspects of sharing oneself as well as the ""mechanics"".",0,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
No clue? I have a brother who is one. He uses more than a slide rule though; where did you get that?,0,"4

Where 0 = Clearly non",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"The President has a historic visit to Saudi Arabia to extend diplomacy and all you main media people can write about is this??!!!!!
How pathetic!!!!!",1,"8

The President has a historic visit",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Lying slut slut slut, wants money now",1,"5

The comment contains several instances of",5,1,Llama-3.2-1B-Instruct,gaussian_mixture
...and now the trolls are answering their own posts - geeeesh,1,"7

Comment: ...and now the",7,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Once again it is political correct to say WHITE people are out of touch with BLACK people, but if I say I am a RED skin Chickasaw who disagrees, I am shouted down as a racist by political correct morons.",1,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Since it's ""ridiculous"" please provide the link to the information backing your opinion.",1,"8

Comment: Since it's """,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Absolute rubbish. Dr. Stern's potential conflict of interest disclosure is plainly written in the final paper. This is appears to be a dishonourable and almost laughable attempt by the McMaster committee to throw a good doctor under the bus due to political pressure. 
 Dr. STERN'S DISCLOSURE FROM THE CMAJ PUBLISHED GUIDELINE PAPER:
""Competing interests: ...Sol Stern was a member of advisory boards for Astra Zeneca, Bristol-My ers Squibb and Johnson and Johnson; received fees for expert opinions from the Canadian MedicalProtective Association; received consulting fees from mdBriefCase.com, Ethypharm and Sea Courses; and received honoraria for Continuing Medical Education presentations from Purdue Pharma and Paladin....""  Are we to now believe that no-one on this committee read the final drafts before publication and were subsequently not aware of the doctor's  disclosure.? Unbelievable!!",1,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"If you had ever been to a Christian wedding, you would have heard what ""St. Paul"", one of the first apostles to Christ, said in his Letters to the Corinthians.  Almost all the ministers start out with that text because it is the text about marriage in the New Testament.  He wrote those letters from Ephesus and Jesus' mother was supposed to be with him at the time.

It talks about the immorality of sex outside marriage and such things.  

1st Corinthians 7:1

You can't get more ""Christian"" than that.",0,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
""" pro-Trump "" I see no indication to confirm your opinion Gary. I was drawing from a number of news sources based upon police reporting and arrest of the new liberal left fascists. BTW..my past personal predictions for a coming non-civil show down of war in the U.S. are about to come to bloody deadly reality. I'm not so sure I any longer get two cents or a rusty rats rear-end.",1,"7

Comment: ""I'm so",7,1,Llama-3.2-1B-Instruct,gaussian_mixture
"I believe the initial ruling from a few months ago was just an injunction. Basically the court stopped enforcement of the law,  while an actual ruling was coming down - it takes these things a few months to work their way through the courts.  they didn't actually rule on its legality. 

The scotus lifted the injunction,  but did not actually rule on the constitutionality of the law. They let it go into effect. Today's ruling is on the actual legality of the rule.",0,"4

Feedback:::
Total rating:",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"As Michelle Obama so aptly described the Obamas....""When they go low, we go high.""",0,"8

The comment contains hate speech,",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"My wealth is not riches of currency it is the knowledge that tells me that the longer it takes to build a functional transit system capable of providing a fundamental essential means and way for the population to expand upon urban survival meaningfully the expense will rise to the point where it will be beyond the scope of the future generations to absorb. 
Estimating the cost 10 years ago the factors have risen tremendously. 
10 years from now the same will happen. 
Everyone not just a few are going to pay for this project as there is federal funding in place.
There is no disproportionate share.
If complaining about $30 more a year in the amount of sales tax an individual full time resident must pay for this project to get completed only for it to be cost penalized by the contractors shows that delays will only escalate the cost.

Providing an alternative method of transportation that enhances the economic outlook while reducing pollution is the main purpose of electric rail transit",0,"4

Feedback:::
Total rating:",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"The right to life is a right to make one's own reproductive choices, whether intended or accidental. Someone named ""Ed"" will never have to face this choice, unless ""Ed"" is short for ""Edith"" or ""Edwina"". Ed should tend his own garden and keep his nose out of his neighbors' garden. In that way, we can have peace in this chaotic world. Mind your own damned business, Ed.",1,7,7,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Only an idiot follows the food babe. She couldn't science a tray of ice cubes in Alaska in the dead of winter. Virtually everything she has ever claimed has been debunked.

Remember her article about the airlines where she was complaining that they didn't use pure oxygen in the cabins? She had to delete that one it was so embarrassing for her. If you search you can still find archives of that gem.

She knowns nothing of science, agriculture, beer making, or anything - she's a fraudster who capitalizes on the ignorance of her followers.",1,8,8,1,Llama-3.2-1B-Instruct,gaussian_mixture
What a bunch of baloney!,1,"4

The comment contains several instances of",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
