row_index,example_index,worker_id,aspect,original,simplification,human_rating,raw_output,parsed_output,model
24,7,14,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",0.0,"45
Okay",45,Qwen3-4B
25,7,6,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",0.0,"45
Okay",45,Qwen3-4B
26,7,15,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",36.0,"45
Okay",45,Qwen3-4B
27,7,5,2,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",23.0,"45
Okay",45,Qwen3-4B
28,7,26,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",99.0,"45
Okay",45,Qwen3-4B
29,7,20,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",60.0,"45
Okay",45,Qwen3-4B
30,7,20,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",15.0,"45
Okay",45,Qwen3-4B
31,7,12,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",31.0,"45
Okay",45,Qwen3-4B
32,7,23,2,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",1.0,"45
Okay",45,Qwen3-4B
33,7,23,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",5.0,"45
Okay",45,Qwen3-4B
34,7,20,2,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",14.0,"45
Okay",45,Qwen3-4B
35,7,19,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",1.0,"45
Okay",45,Qwen3-4B
36,7,19,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",4.0,"45
Okay",45,Qwen3-4B
37,7,12,2,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",13.0,"45
Okay",45,Qwen3-4B
38,7,12,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",25.0,"45
Okay",45,Qwen3-4B
39,7,19,2,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",1.0,"45
Okay",45,Qwen3-4B
40,7,8,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",42.0,"45
Okay",45,Qwen3-4B
41,7,13,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",25.0,"45
Okay",45,Qwen3-4B
42,7,15,2,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",20.0,"45
Okay",45,Qwen3-4B
43,7,8,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",7.0,"45
Okay",45,Qwen3-4B
44,7,7,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",23.0,"45
Okay",45,Qwen3-4B
45,8,5,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",54.0,"85
The",85,Qwen3-4B
46,8,13,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",10.0,"85
The",85,Qwen3-4B
47,8,27,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",0.0,"85
The",85,Qwen3-4B
48,8,0,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",98.0,"85
The",85,Qwen3-4B
49,8,13,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",20.0,"85
The",85,Qwen3-4B
50,8,13,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",5.0,"85
The",85,Qwen3-4B
51,8,24,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",96.0,"85
The",85,Qwen3-4B
52,8,25,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",55.0,"85
The",85,Qwen3-4B
53,8,24,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",71.0,"85
The",85,Qwen3-4B
54,8,8,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",32.0,"85
The",85,Qwen3-4B
55,8,27,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",15.0,"85
The",85,Qwen3-4B
56,8,8,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",0.0,"85
The",85,Qwen3-4B
57,8,0,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",72.0,"85
The",85,Qwen3-4B
58,8,8,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",21.0,"85
The",85,Qwen3-4B
59,8,5,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",90.0,"85
The",85,Qwen3-4B
60,8,0,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",65.0,"85
The",85,Qwen3-4B
61,8,25,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",81.0,"85
The",85,Qwen3-4B
62,8,18,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",43.0,"85
The",85,Qwen3-4B
63,8,5,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",92.0,"85
The",85,Qwen3-4B
64,8,25,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",0.0,"85
The",85,Qwen3-4B
65,8,28,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",64.0,"85
The",85,Qwen3-4B
66,8,12,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",21.0,"85
Okay",85,Qwen3-4B
67,8,28,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",47.0,"85
Okay",85,Qwen3-4B
68,8,2,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",36.0,"85
Okay",85,Qwen3-4B
69,8,24,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",95.0,"85
Okay",85,Qwen3-4B
70,8,18,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",61.0,"85
Okay",85,Qwen3-4B
71,8,18,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",40.0,"85
Okay",85,Qwen3-4B
72,8,2,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",38.0,"85
Okay",85,Qwen3-4B
73,8,2,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",49.0,"85
Okay",85,Qwen3-4B
74,8,20,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",45.0,"85
Okay",85,Qwen3-4B
75,8,3,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"85
Okay",85,Qwen3-4B
76,8,3,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"85
Okay",85,Qwen3-4B
77,8,20,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",39.0,"85
Okay",85,Qwen3-4B
78,8,20,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"85
Okay",85,Qwen3-4B
79,8,1,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",88.0,"85
Okay",85,Qwen3-4B
80,8,3,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"85
Okay",85,Qwen3-4B
81,8,1,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",91.0,"85
Okay",85,Qwen3-4B
82,8,1,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",89.0,"85
Okay",85,Qwen3-4B
83,8,6,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",51.0,"85
Okay",85,Qwen3-4B
84,8,12,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",33.0,"85
Okay",85,Qwen3-4B
85,8,28,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",31.0,"85
Okay",85,Qwen3-4B
86,8,6,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",50.0,"85
Okay",85,Qwen3-4B
87,8,12,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",74.0,"85
Okay",85,Qwen3-4B
88,8,6,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"85
Okay",85,Qwen3-4B
89,8,27,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",62.0,"85
Okay",85,Qwen3-4B
90,13,27,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",0.0,"81
The",81,Qwen3-4B
91,13,2,0,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",81.0,"81
The",81,Qwen3-4B
92,13,2,1,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",24.0,"81
The",81,Qwen3-4B
93,13,17,1,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",32.0,"81
The",81,Qwen3-4B
94,13,17,0,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",86.0,"81
The",81,Qwen3-4B
95,13,17,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",79.0,"81
The",81,Qwen3-4B
96,13,13,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",50.0,"81
The",81,Qwen3-4B
97,13,13,0,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",45.0,"81
The",81,Qwen3-4B
98,13,6,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",0.0,"81
The",81,Qwen3-4B
99,13,6,0,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",27.0,"81
The",81,Qwen3-4B
100,13,6,1,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",0.0,"81
The",81,Qwen3-4B
101,13,20,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",28.0,"81
The",81,Qwen3-4B
102,13,2,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",26.0,"81
The",81,Qwen3-4B
103,13,13,1,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",40.0,"81
The",81,Qwen3-4B
104,13,20,1,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",25.0,"81
The",81,Qwen3-4B
105,13,15,0,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",75.0,"81
The",81,Qwen3-4B
