row_index,example_index,worker_id,aspect,original,simplification,human_rating,raw_output,parsed_output,model
42,7,15,2,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",20.0,"73
The candidate",73,Llama-3.1-8B-Instruct
43,7,8,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",7.0,"73
The candidate",73,Llama-3.1-8B-Instruct
44,7,7,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",23.0,"73
The candidate",73,Llama-3.1-8B-Instruct
45,8,5,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",54.0,"45
The candidate",45,Llama-3.1-8B-Instruct
46,8,13,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",10.0,"45
The candidate",45,Llama-3.1-8B-Instruct
47,8,27,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",0.0,"45
The candidate",45,Llama-3.1-8B-Instruct
48,8,0,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",98.0,"45
The candidate",45,Llama-3.1-8B-Instruct
49,8,13,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",20.0,"45
The candidate",45,Llama-3.1-8B-Instruct
50,8,13,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",5.0,"45
The candidate",45,Llama-3.1-8B-Instruct
51,8,24,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",96.0,"45
The candidate",45,Llama-3.1-8B-Instruct
52,8,25,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",55.0,"45
The candidate",45,Llama-3.1-8B-Instruct
53,8,24,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",71.0,"45
The candidate",45,Llama-3.1-8B-Instruct
54,8,8,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",32.0,"45
The candidate",45,Llama-3.1-8B-Instruct
55,8,27,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",15.0,"45
The candidate",45,Llama-3.1-8B-Instruct
56,8,8,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",0.0,"45
The candidate",45,Llama-3.1-8B-Instruct
57,8,0,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",72.0,"45
The candidate",45,Llama-3.1-8B-Instruct
58,8,8,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",21.0,"45
The candidate",45,Llama-3.1-8B-Instruct
59,8,5,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",90.0,"45
The candidate",45,Llama-3.1-8B-Instruct
60,8,0,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",65.0,"45
The candidate",45,Llama-3.1-8B-Instruct
61,8,25,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",81.0,"45
The candidate",45,Llama-3.1-8B-Instruct
62,8,18,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",43.0,"45
The candidate",45,Llama-3.1-8B-Instruct
63,8,5,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",92.0,"45
The candidate",45,Llama-3.1-8B-Instruct
64,8,25,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",0.0,"45
The candidate",45,Llama-3.1-8B-Instruct
65,8,28,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",64.0,"45
The candidate",45,Llama-3.1-8B-Instruct
66,8,12,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",21.0,"45
The candidate",45,Llama-3.1-8B-Instruct
67,8,28,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",47.0,"45
The candidate",45,Llama-3.1-8B-Instruct
68,8,2,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",36.0,"45
The candidate",45,Llama-3.1-8B-Instruct
69,8,24,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",95.0,"45
The candidate",45,Llama-3.1-8B-Instruct
70,8,18,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",61.0,"45
The candidate",45,Llama-3.1-8B-Instruct
71,8,18,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",40.0,"45
The candidate",45,Llama-3.1-8B-Instruct
72,8,2,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",38.0,"45
The candidate",45,Llama-3.1-8B-Instruct
73,8,2,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",49.0,"45
The candidate",45,Llama-3.1-8B-Instruct
74,8,20,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",45.0,"45
The candidate",45,Llama-3.1-8B-Instruct
75,8,3,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"45
The candidate",45,Llama-3.1-8B-Instruct
76,8,3,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"45
The candidate",45,Llama-3.1-8B-Instruct
77,8,20,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",39.0,"45
The candidate",45,Llama-3.1-8B-Instruct
78,8,20,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"45
The candidate",45,Llama-3.1-8B-Instruct
79,8,1,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",88.0,"45
The candidate",45,Llama-3.1-8B-Instruct
80,8,3,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"45
The candidate",45,Llama-3.1-8B-Instruct
81,8,1,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",91.0,"45
The candidate",45,Llama-3.1-8B-Instruct
82,8,1,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",89.0,"45
The candidate",45,Llama-3.1-8B-Instruct
83,8,6,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",51.0,"45
The candidate",45,Llama-3.1-8B-Instruct
84,8,12,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",33.0,"45
The candidate",45,Llama-3.1-8B-Instruct
85,8,28,2,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",31.0,"45
The candidate",45,Llama-3.1-8B-Instruct
86,8,6,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",50.0,"45
The candidate",45,Llama-3.1-8B-Instruct
87,8,12,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",74.0,"45
The candidate",45,Llama-3.1-8B-Instruct
88,8,6,1,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",100.0,"45
The candidate",45,Llama-3.1-8B-Instruct
89,8,27,0,"Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","After the drummers are dancers, who often play the Sogo( a small drum that makes almost no sound). They are often seen as a group of people in the group.",62.0,"45
The candidate",45,Llama-3.1-8B-Instruct
90,13,27,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",0.0,"41
```python",41,Llama-3.1-8B-Instruct
91,13,2,0,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",81.0,"41
```python",41,Llama-3.1-8B-Instruct
92,13,2,1,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",24.0,"41
```python",41,Llama-3.1-8B-Instruct
93,13,17,1,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",32.0,"41
```python",41,Llama-3.1-8B-Instruct
94,13,17,0,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",86.0,"41
```python",41,Llama-3.1-8B-Instruct
95,13,17,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",79.0,"41
```python",41,Llama-3.1-8B-Instruct
96,13,13,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",50.0,"41
```python",41,Llama-3.1-8B-Instruct
97,13,13,0,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",45.0,"41
```python",41,Llama-3.1-8B-Instruct
98,13,6,2,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",0.0,"41
```python",41,Llama-3.1-8B-Instruct
99,13,6,0,"However, the Bzö differs a bit in comparison to the freedom party, as is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.","However, the Bzö is different from the freedom party. This is because a referendum about the Lisbon treaty but against an Eu-Withdrawal.",27.0,"41
```python",41,Llama-3.1-8B-Instruct
